uuid,rank,parent_uuid
2936de0a-9946-deb1-b068-008f9d314896,141956,7063d087-96b8-2cc1-ee88-c221288acc2a
ba4889b0-0121-d3ae-240c-a1aa17582a56,230270,ab47d80c-7971-c8e6-b620-7483498d0c5b
aae99a36-1785-1bc8-2c03-ca8d4a58bc8c,38689,05554f65-6aa9-4dd1-6271-8ce2d60f10c4
cacfbbe7-c58f-cea9-d789-d5ffc5bb7350,144658,0fe46467-2c30-bbdc-683e-54d3add6603e
d316ec95-e64e-5e67-0428-6582a2709c58,140064,fbc7746d-86e0-8fd6-19d8-69280c686d02
427e8f37-684f-1cdf-cc36-a1ee0faf9701,7693,fc5fbe7a-562d-d577-b05e-46797caa134c
d60a8508-32fd-7bc5-08df-0b15254f2016,161679,e8e739f7-8a1b-3d80-3e0e-eff40b188d97
ec4b2e7e-c5fd-9a97-14a7-40204a0bb855,91068,d83fc2b5-bf72-b7a1-7adf-f92be0bb5d8d
4d20a60c-4fd5-0228-1920-897081c6c18d,89513,756936c0-c335-f0ae-0a3d-fe26bdff5695
89552c82-5485-c6c7-f3e8-b300b167ccbc,262339,d41884ae-456f-bf95-54d5-f4107973ab3f
862b4606-4894-e0e4-31fe-3facd4c6a79d,441497,47250f2d-ac8c-d767-3962-59d4e29ed10e
3b84c243-c823-5292-dfa2-dd8ec308d00b,149393,b5a96cd7-044d-70f0-04c5-f125e57a4b35
46fdb1be-ff09-17be-e78d-2c8904cb5ae2,141794,5a1496f1-0f26-d0e0-9815-d378750011e4
204e2665-eb97-b4a7-85b2-e12b6d7b4b65,132234,683189f2-6420-7502-5c93-9de16cdbac31
7671a683-dfb6-a12b-9c1d-d1b29b011d54,27983,3f2b5885-4257-0d74-f05a-7b9a89bf77f7
133d5017-5585-4c2b-a04d-639d2c5ac8d7,838573,4cbd6c52-fde0-e509-9dab-030b36c03fb0
41f4b70d-eba8-12c3-e3fa-c62a0fb0e2c6,84147,f8350b56-cb69-3299-1b90-907593b182df
e7ef4dca-9300-233c-18eb-c7d433e3dd41,253747,f908683c-5630-9ceb-e947-de13d2a04d3f
3945f6b0-e006-17ad-5ae7-8e8e831174cb,673729,d6fa147f-fb4e-84a7-42f6-fd71d77584ab
238b3d1c-eccb-7230-a179-621d35ff05e1,222353,ecc088ad-9166-7a72-e77b-1e702f278763
912cb5bc-dbb6-08b9-7d62-ea1849a13cbb,246307,2c0b76f3-f98d-e778-7fc9-d057f93fe995
de7acf40-58b4-fb56-2001-318c072eac53,359478,4cbd6c52-fde0-e509-9dab-030b36c03fb0
6cb9d6da-4e0f-3bac-6325-68627aab62cb,93445,455be864-c96e-a360-da57-afd9384fe563
f13fefbe-75fd-ef78-96cc-2b0a9ebe3aac,158244,a6ae13df-20cb-8b18-668b-97d6ea942f08
c21211c2-285a-b6d4-765c-8df92e22f186,135993,6acfa7da-1dbd-936e-d985-cf07a1b27711
767f11a2-9dc4-4162-858a-509813260702,225720,a0350af1-0869-d550-8103-cacc3a9b9ef8
fd37ba83-44c7-2151-9355-fefac3ab1a67,6988,1bd1698c-cd0f-37bb-581b-1a4b6dd1c772
991024d5-270e-a8ec-d70a-d567e77e2b79,309850,b1e59602-903a-3936-6793-513ffd5a3ecb
badce9cc-0987-177b-0b55-2b09b073fd93,218981,33d32621-1b23-4882-64a3-49284e03c3a5
cbcfd7d0-ba00-e013-241b-ef87dff2e6c3,111203,05554f65-6aa9-4dd1-6271-8ce2d60f10c4
80cea926-e3b7-b3d7-74df-92259031eaab,43865,40772fa9-3409-49f8-c4d1-47d2173f58d3
9a6403f1-0dfd-b8ad-a536-1a418352bd9a,169969,e56b0ceb-bb30-bbec-805e-d5dc7412dcb1
c353e9df-4502-fbac-75b7-48f17aa821d2,275773,1953cba3-d2cc-6f99-0d83-2276e879a025
2babeccf-6e4d-76be-407f-791db74e88ad,126609,b0e9e6b3-dd2d-de5b-cf84-244eef208c2b
26bed555-0541-1639-cf85-ad848c99aa6d,1034367,ab7e4e14-66ce-8859-bbbf-d65b6e1c96af
dfff4ae0-9efd-2ba1-09cd-bba24b683255,20158,e0906c05-fae5-9591-ba5f-2142d8b0065a
cf768818-74f4-d003-4640-630c58ca1c20,131908,0e023c9b-146d-ca6e-06c1-1fcc66057550
3875b2cb-c2cb-0fdf-12dc-3e622445d3ff,1095465,9c1cf516-20a9-0391-a51f-712beb86c05a
ac74aa90-80c3-817b-055a-63f28b836d2d,164597,ef2d56f4-c8e4-dc59-d59d-ef5bdc2ca21f
43ab20ec-8c12-5aa5-d69a-7e046631109e,87245,1e35197b-4c88-493e-b661-32134f51eb5c
eff0f5ed-e56a-e33e-7c85-4fab24235fb7,224263,1a410398-3a72-5882-99b8-6318cf594850
aba0b5bb-d228-9ba0-0772-980560f535de,95375,ed10f541-eab4-be0b-6f86-698053e9bcda
0536ffe8-7192-b8a6-7cec-ee8e4df55340,114068,0c4a1fcb-97f4-9b8b-35e6-8b4425c50b7a
